wrong,right
AVALANCE,AVALANCHE
BEACH EROSIN,COASTAL EROSION
Beach Erosion,COASTAL EROSION
BEACH EROSION/COASTAL FLOOD,COASTAL EROSION
BEACH FLOOD,FLOOD
BITTER WIND CHILL TEMPERATURES,WIND
BITTER WIND CHILL,WIND
Black Ice,BLACK ICE
BLIZZARD AND EXTREME WIND CHIL,BLIZZARD
BLIZZARD AND HEAVY SNOW,BLIZZARD
BLIZZARD/FREEZING RAIN,BLIZZARD
BLIZZARD/HEAVY SNOW,BLIZZARD
BLIZZARD/HIGH WIND,BLIZZARD
Blizzard Summary,BLIZZARD
BLIZZARD WEATHER,BLIZZARD
BLIZZARD/WINTER STORM,BLIZZARD
blowing snow,BLOWING SNOW
Blowing Snow,BLOWING SNOW
BLOWING SNOW & EXTREME WIND CH,BLOWING SNOW
BLOWING SNOW- EXTREME WIND CHI,BLOWING SNOW
BLOWING SNOW/EXTREME WIND CHIL,BLOWING SNOW
BLOW-OUT TIDE,BLOW-OUT TIDES
BRUSH FIRE,BRUSH FIRES
Coastal Flood,FLOOD
COASTALFLOOD,FLOOD
 COASTAL FLOOD,FLOOD
coastal flooding,FLOOD
Coastal Flooding,FLOOD
COASTAL FLOODING,FLOOD
COASTAL  FLOODING/EROSION,FLOOD
COASTAL FLOODING/EROSION,FLOOD
Coastal Storm,COASTAL STORM
COASTALSTORM,COASTAL STORM
COASTAL/TIDAL FLOOD,FLOOD
Cold,COLD
COLD AIR FUNNEL,COLD AIR TORNADO
COLD AIR FUNNELS,COLD AIR TORNADO
Cold and Frost,COLD
COLD AND FROST,COLD
COLD AND SNOW,COLD
COLD AND WET CONDITIONS,COLD
Cold Temperature,COLD
COLD TEMPERATURES,COLD
COLD WAVE,COLD
COLD WEATHER,COLD
COLD/WIND CHILL,COLD
COLD WIND CHILL TEMPERATURES,COLD
COLD/WINDS,COLD
COOL AND WET,COLD
COOL SPELL,COLD
CSTL FLOODING/EROSION,FLOOD
Damaging Freeze,DAMAGING FREEZE
DAM FAILURE,DAM BREAK
DOWNBURST,WIND
DOWNBURST WINDS,WIND
DRIEST MONTH,DRY CONDITIONS
Drifting Snow, DRIFTING SNOW
DROUGHT,DRY CONDITIONS
DROUGHT/EXCESSIVE HEAT,DRY CONDITIONS
DROWNING
DRY,DRY CONDITIONS
DRY HOT WEATHER,DRY CONDITIONS
DRY MICROBURST
DRY MICROBURST 50,DRY MICROBURST
DRY MICROBURST 53,DRY MICROBURST
DRY MICROBURST 58,DRY MICROBURST
DRY MICROBURST 61,DRY MICROBURST
DRY MICROBURST 84,DRY MICROBURST
DRY MICROBURST WINDS,DRY MICROBURST
DRY MIRCOBURST WINDS,DRY MICROBURST
DRYNESS,DRY CONDITIONS
DRY PATTERN,DRY CONDITIONS
DRY SPELL,DRY CONDITIONS
DRY WEATHER,DRY CONDITIONS
DUST DEVEL,DUST DEVIL
Dust Devil,DUST DEVIL
DUST DEVIL WATERSPOUT,DUST DEVIL
DUSTSTORM,DUST STORM
DUST STORM/HIGH WINDS,DUST STORM
EARLY FREEZE,EARLY FROST
Early Frost,EARLY FROST
Early snowfall,EARLY SNOW
EARLY SNOWFALL,EARLY SNOW
Erosion/Cstl Flood,FLOOD
EXCESSIVE,NA
Excessive Cold,COLD
EXCESSIVE HEAT,HEAT
EXCESSIVE HEAT/DROUGHT,HEAT
EXCESSIVELY DRY,DRY CONDITIONS
EXCESSIVE RAIN,EXCESSIVE PRECIPITATION
EXCESSIVE RAINFALL,EXCESSIVE PRECIPITATION
EXCESSIVE SNOW,EXCESSIVE PRECIPITATION
Extended Cold,COLD
Extreme Cold,COLD
EXTREME COLD,COLD
EXTREME COLD/WIND CHILL,COLD
EXTREME HEAT,HEAT
EXTREMELY WET,EXCESSIVE WETNESS
EXTREME/RECORD COLD,COLD
EXTREME WINDCHILL,WIND
EXTREME WIND CHILL,WIND
EXTREME WIND CHILL/BLOWING SNO,WIND
EXTREME WIND CHILLS,WIND
